headline_text,article_url,article_preview,date,author
Inside Georgina Rodriguez's 28th birthday: Cristiano Ronaldo lavishes the model with red roses as they share a passionate kiss during Dubai celebrations - and he even lights up the Burj Khalifa with her face!,/tvshowbiz/article-10451717/Inside-Georgina-Rodriguezs-28th-birthday.html,"The model - who is pregnant with twins - shared an intimate gallery of snaps to her Instagram, giving her fans an insight into the decadent occasion  in Dubai.",2022-01-28 11:11:37,Amelia Wynne For Mailonline
Coleen Rooney flashes a big smile after her morning workout as she dresses for comfort in snow boots and leggings ,/tvshowbiz/article-10451869/Coleen-Rooney-flashes-big-smile-morning-workout.html,"Coleen Rooney had a cheerful start to her day on Friday, getting the endorphins flowing with a morning workout.",2022-01-28 11:29:30,Joanna Crawley For Mailonline
'I had a crazy reaction!' Penelope Cruz reveals she became possessive over the baby and prop dolls on the set of Parallel Mothers,/tvshowbiz/article-10451709/Penelope-Cruz-reveals-possessive-baby-prop-dolls-Parallel-Mothers-set.html,"Parallel Mothers is her seventh film with Pedro Almodóvar, for which she won the International Star Award at the Palm Springs International Film Awards",2022-01-28 11:34:00,Ellie Phillips For Mailonline
'I'm going to be covered!' Grimes lifts her top to show off the freshly inked skin under her bust and reveals plans to have a 'full body alien tattoo',/tvshowbiz/article-10451291/Grimes-lifts-reveal-new-white-tattoo-bust.html,Grimes took to Instagram on Friday to show off her freshly inked skin with fans as she lifted her top to reveal her brand new tattoo. ,2022-01-28 11:46:14,Codie Bullen For Mailonline
"'What the hell happened?' Carol Vorderman, 61, shows off her wild hair and jaw-dropping curves in tight top and leather pants in playful post",/tvshowbiz/article-10451909/Carol-Vorderman-61-flaunts-big-hair-jaw-dropping-curves-leather-pants.html,"The TV presenter, 61, paired the leggings with a figure-hugging sweater that showed off her ample assets, and a wide belt which cinched her in at her tiny waist. ",2022-01-28 11:47:53,Milly Veitch For Mailonline
Daisy May Cooper bundles up from the cold in a camouflage coat while filming scenes for comedy thriller Am I Being Unreasonable in Somerset,/tvshowbiz/article-10451701/Daisy-Cooper-bundles-camouflage-coat-filming-upcoming-comedy-Somerset.html,"The This Country star, 35 braced herself against the cold in a green camouflage coat as she stood under an umbrella in-between takes for the new thriller in Somerset.",2022-01-28 11:53:11,Milly Veitch For Mailonline
"'It's Friday!' Jenny Powell, 53, shows off her physique in bright gym gear before posing up a storm in glam hair rollers as she celebrates the arrival of the weekend",/tvshowbiz/article-10451913/Jenny-Powell-53-shows-physique-bright-gym-gear.html,"The TV star, 53, posed up as storm in a skimpy yellow sports bra which she teamed with bright blue leggings, before posing in hair rollers.",2022-01-28 11:58:33,Amelia Wynne For Mailonline
'Doors to Mandy': Amanda Holden dresses as sexy air hostess in a playful new video as she encourages her followers to fly with the 'mile high club',/tvshowbiz/article-10451753/Amanda-Holden-dresses-sexy-air-hostess-playful-new-video.html,"The Heart radio presenter, 50, caught the eye in a blue steward's outfit, sheer tights and stilettos, in a short slow motion clip posted to Instagram on Friday.",2022-01-28 12:05:54,Jonathan Rose For Mailonline
Lauren Goodger's lookalike love rival Amy Gilbert ignores trolls as she posts racy selfies... after pregnant TOWIE star admits she could reconcile with ex Charles Drury despite his fling ,/tvshowbiz/article-10452061/Lauren-Goodgers-lookalike-love-rival-Amy-Gilbert-posts-racy-selfies.html,"Amy Gilbert, the woman Charles Drury admitted to having a fling with during a brief split from Lauren Goodger has shared a string of sexy selfies.",2022-01-28 12:09:09,Joanna Crawley For Mailonline
Michelle Keegan shows off her fun sense of style as she models new Very range after revealing plans to 'take a step back from acting',/tvshowbiz/article-10451931/Michelle-Keegan-shows-fun-sense-style-models-new-range.html,"The Our Girl actress, 34, showed off her slim frame in a high-necked smudge print brown bodycon number before switching into colourful cosy knits",2022-01-28 12:12:14,Ellie Phillips For Mailonline
